Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
3526BL,Defendant,"346,39",0,,Huurder,2018,BL,3526,52.0678,5.0936
1102CX,Defendant,,,,Huurder,2018,CX,1102,52.3084,4.9526
1102CX,Defendant,,,,Huurder,2018,CX,1102,52.3084,4.9526
3553CK,Complainer,,,,Huurder,2018,CK,3553,52.1107,5.0868
3553CK,Complainer,,,,Huurder,2019,CK,3553,52.1107,5.0868
9601AD,Complainer,600,480,,Huurder,2018,AD,9601,53.1623,6.7562
1211NL,Complainer,710,284,,Huurder,2018,NL,1211,52.2203,5.1716
6221XW,Complainer,525,210,,Huurder,2018,XW,6221,50.8556,5.701
3074NP,Defendant,"262,86","525,72",,Verhuurder,2018,NP,3074,51.8908,4.5091
9711JB,Complainer,556,"383,08",,Huurder,2018,JB,9711,53.2164,6.5633
9711JB,Complainer,"549,42","329,65",,Huurder,2019,JB,9711,53.2164,6.5633
6461GS,Defendant,661,661,,Huurder,2018,GS,6461,50.8598,6.0592
5011SH,Defendant,"570,31","570,31",,Huurder,2018,SH,5011,51.5816,5.078
1104SE,Complainer,,,,Huurder,2018,SE,1104,52.3163,4.9798
1104SE,Complainer,,,,Huurder,2018,SE,1104,52.3163,4.9798
7812EM,Defendant,"528,11","528,11",,Huurder,2018,EM,7812,52.7598,6.8789
3818KK,Complainer,"589,9","412,93",,Huurder,2018,KK,3818,52.1482,5.3605
3818KK,Complainer,767,"536,9",,Huurder,2018,KK,3818,52.1482,5.3605
3513CA,Defendant,335,335,,Huurder,2018,CA,3513,52.0964,5.1093
3513CA,Complainer,341,"221,66",,Huurder,2018,CA,3513,52.0964,5.1093
6321BV,Defendant,"461,29","461,29",,Huurder,2018,BV,6321,50.8349,5.8934
1223NE,Defendant,"214,95","214,95",,Verhuurder,2018,NE,1223,52.2268,5.2009
2561AL,Complainer,,,,Huurder,2018,AL,2561,52.0765,4.274
2561AL,Complainer,"430,37","344,30",,Huurder,2019,AL,2561,52.0765,4.274
9718DA,Defendant,"644,2","644,2",,Huurder,2018,DA,9718,53.2142,6.557
9718DA,Complainer,609,"604,04",,Huurder,2018,DA,9718,53.2142,6.557
9718DA,Complainer,,,,Huurder,2019,DA,9718,53.2142,6.557
9718DA,Complainer,,,,Huurder,2019,DA,9718,53.2142,6.557
9718DA,Complainer,,,,Huurder,2019,DA,9718,53.2142,6.557
9718DA,Complainer,,,,Huurder,2019,DA,9718,53.2142,6.557
9718DA,Defendant,,,,Huurder,2022,DA,9718,53.2142,6.557
9718DA,Complainer,,,,Huurder,2022,DA,9718,53.2142,6.557
3433CL,Complainer,,,,Huurder,2018,CL,3433,52.0044,5.095
9721BB,Complainer,,,,Huurder,2018,BB,9721,53.2002,6.5754
9721BB,Complainer,,,,Huurder,2018,BB,9721,53.2002,6.5754
9721BB,Complainer,,,,Huurder,2020,BB,9721,53.2002,6.5754
5038CD,Complainer,325,"190,85",,Huurder,2018,CD,5038,51.5597,5.0866
3561HE,Complainer,"678,67","621,23",,Huurder,2018,HE,3561,52.1112,5.1227
2562HJ,Defendant,150,150,,Huurder,2018,HJ,2562,52.0737,4.2771
7824EL,Complainer,"490,05","294,03",,Huurder,2018,EL,7824,52.7839,6.9273
9401GE,Complainer,695,385,,Huurder,2018,GE,9401,52.9934,6.5585
7328DH,Defendant,"723,09","723,09",,Huurder,2018,DH,7328,52.1994,5.9867
9724NK,Complainer,,,,Huurder,2018,NK,9724,53.2102,6.5806
6004MC,Defendant,"591,93","591,93",,Huurder,2018,MC,6004,51.2483,5.74
6451BH,Complainer,,,,Huurder,2018,BH,6451,50.9718,5.9815
2545BH,Complainer,"431,54","172,62",,Huurder,2018,BH,2545,52.0411,4.2788
1103PH,Defendant,,,,Huurder,2018,PH,1103,52.3252,4.9798
1103PH,Complainer,"394,87","396,87",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"394,87","396,87",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"402,58","404,58",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"394,87","396,87",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"516,31","518,31",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"394,87","396,87",,Huurder,2019,PH,1103,52.3252,4.9798
1103PH,Complainer,"398,69","400,69",,Huurder,2019,PH,1103,52.3252,4.9798
9051VB,Defendant,,,,Huurder,2018,VB,9051,53.2676,5.7508
1055WV,Defendant,900,900,,Huurder,2018,WV,1055,52.3808,4.8586
3531BV,Complainer,,,,Huurder,2018,BV,3531,52.0911,5.1038
3531BV,Complainer,"323,15","194,99",,Huurder,2019,BV,3531,52.0911,5.1038
3531BV,Complainer,"270,52","127,26",,Huurder,2019,BV,3531,52.0911,5.1038
3531BV,Complainer,"264,12","158,04",,Huurder,2019,BV,3531,52.0911,5.1038
3531BV,Complainer,387,"209,32",,Huurder,2019,BV,3531,52.0911,5.1038
3531BV,Complainer,"467,35","233,92",,Huurder,2019,BV,3531,52.0911,5.1038
